SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-31-2017,Single Family Residential,1436 Trestle Glen Rd,Oakland,CA,94610,1490000,3,3.0,Oakland,2422,6821,1922,71,615,,Sold,,,http://www.redfin.com/CA/Oakland/1436-Trestle-Glen-Rd-94610/home/1727361,EBRD/CCAR/Bay East,40770494,N,Y,37.8093166,-122.2261899
PAST SALE,May-2-2017,Single Family Residential,1284 Bates Rd,Oakland,CA,94610,750000,2,1.0,Oakland,1199,3822,1924,39,626,,Sold,,,http://www.redfin.com/CA/Oakland/1284-Bates-Rd-94610/home/1422137,San Francisco MLS,456999,N,Y,37.8063348,-122.2288986
PAST SALE,September-14-2016,Single Family Residential,1406 Holman Rd,Oakland,CA,94610,1450000,3,3.0,Crocker Hghlands,2450,3160,2016,269,592,15,Sold,,,http://www.redfin.com/CA/Oakland/1406-Holman-Rd-94610/home/22729900,EBRD/CCAR/Bay East,40752373,N,Y,37.8076561,-122.2264107
PAST SALE,April-7-2016,Single Family Residential,1117 PORTAL Ave,Oakland,CA,94610,1465000,3,2.5,Crocker Hghlands,2477,4536,1924,429,591,,Sold,,,http://www.redfin.com/CA/Oakland/1117-Portal-Ave-94610/home/526614,EBRD/CCAR/Bay East,40732051,N,Y,37.8150491,-122.2284344
PAST SALE,March-3-2017,Single Family Residential,661 Calmar Ave,Oakland,CA,94610,1255000,3,1.5,Crocker Hghlands,1571,5645,1917,99,799,,Sold,,,http://www.redfin.com/CA/Oakland/661-Calmar-Ave-94610/home/2040104,EBRD/CCAR/Bay East,40768615,Y,Y,37.81163,-122.2388245
PAST SALE,October-21-2016,Single Family Residential,851 SANTA RAY Ave,Oakland,CA,94610,1170000,5,3.0,Crocker Hghlands,3501,5200,1922,232,334,,Sold,,,http://www.redfin.com/CA/Oakland/851-Santa-Ray-Ave-94610/home/1726500,EBRD/CCAR/Bay East,40759922,N,Y,37.812444,-122.230769
PAST SALE,,Single Family Residential,675 Santa Ray Ave,Oakland,CA,94610,640000,2,1.0,,1200,4386,1920,,533,,,,,http://www.redfin.com/CA/Oakland/675-Santa-Ray-Ave-94610/home/1653737,,,N,Y,37.811117,-122.2381595
PAST SALE,June-13-2014,Single Family Residential,1488 TRESTLE GLEN Rd,Oakland,CA,94610-1850,1003000,3,1.0,Crocker Hghlands,1492,5300,1928,1093,672,,Sold,,,http://www.redfin.com/CA/Oakland/1488-Trestle-Glen-Rd-94610/home/1585720,EBRD/CCAR/Bay East,40657941,N,Y,37.8100363,-122.2252744
PAST SALE,August-14-2014,Single Family Residential,3983 GREENWOOD Ave,Oakland,CA,94602-1107,765000,2,1.0,Glenview,1392,4120,1922,1031,550,,Sold,,,http://www.redfin.com/CA/Oakland/3983-Greenwood-Ave-94602/home/1688733,EBRD/CCAR/Bay East,40664305,N,Y,37.8068174,-122.2266915
PAST SALE,September-12-2014,Single Family Residential,1037 SUNNYHILLS Rd,Oakland,CA,94610-2416,1461735,3,2.5,Crocker Hghlands,2355,5040,1924,1002,621,14,Sold,,,http://www.redfin.com/CA/Oakland/1037-Sunnyhills-Rd-94610/home/527084,EBRD/CCAR/Bay East,40667581,N,Y,37.8100046,-122.2286291
PAST SALE,March-14-2017,Single Family Residential,271 Crocker Ave,Piedmont,CA,94610,4350000,5,6.5,Piedmont,5887,7020,1924,88,739,,Sold,,,http://www.redfin.com/CA/Piedmont/271-Crocker-Ave-94610/home/526622,EBRD/CCAR/Bay East,40768667,N,Y,37.814717,-122.225437
