SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-26-2017,Multi-Family (5+ Unit),5324 College Ave,Oakland,CA,94618,2450000,1,,Oakland,3970,1684,1926,15,617,,Sold,,,http://www.redfin.com/CA/Oakland/5324-College-Ave-94618/home/113654547,San Francisco MLS,456479,N,Y,37.8386933,-122.2510986
PAST SALE,June-5-2017,Single Family Residential,463 Hudson St,Oakland,CA,94618,1207000,2,1.0,Rockridge,1134,3240,1911,5,1064,,Sold,,,http://www.redfin.com/CA/Oakland/463-Hudson-St-94618/home/1140482,EBRD/CCAR/Bay East,40781749,N,Y,37.8418556,-122.2554684
PAST SALE,,Single Family Residential,6339 Brookside Ave,Oakland,CA,94618,1680000,3,3.0,,2596,11410,1993,,647,,,,,http://www.redfin.com/CA/Oakland/6339-Brookside-Ave-94618/home/1930796,,,N,Y,37.847013,-122.2391678
PAST SALE,June-20-2014,Single Family Residential,71 ROBLE Rd,Oakland,CA,94618-1940,1575000,5,3.5,Upper Rockridge,3516,6068,2002,1086,448,,Sold,,,http://www.redfin.com/CA/Oakland/71-Roble-Rd-94618/home/103452272,EBRD/CCAR/Bay East,40654425,N,Y,37.8517369,-122.2357293
PAST SALE,December-28-2015,Condo/Co-op,425 Clifton St #425,Oakland,CA,94618-1167,910000,2,2.0,Rockridge,1150,5360,1910,530,791,335,Sold,,,http://www.redfin.com/CA/Oakland/425-Clifton-St-94618/home/102308799,EBRD/CCAR/Bay East,40724887,N,Y,37.8391611,-122.2552815
PAST SALE,March-8-2016,Single Family Residential,5856 OCEAN VIEW Dr,Oakland,CA,94618,1330000,3,2.0,Oakland,1878,4200,1911,459,708,,Sold,,,http://www.redfin.com/CA/Oakland/5856-Ocean-View-Dr-94618/home/600826,EBRD/CCAR/Bay East,40727464,N,Y,37.8455643,-122.2465045
PAST SALE,March-3-2017,Single Family Residential,115 Alpine Ter,Oakland,CA,94618,3400000,6,5.0,Upper Rockridge,5858,9159,2002,99,580,,Sold,,,http://www.redfin.com/CA/Oakland/115-Alpine-Ter-94618/home/606644,EBRD/CCAR/Bay East,40770598,N,Y,37.8444515,-122.2386053
PAST SALE,October-1-2014,Single Family Residential,5977 KEITH Ave,Oakland,CA,94618-1545,600000,3,1.5,Rockridge,2132,4717,1925,983,281,,Sold,,,http://www.redfin.com/CA/Oakland/5977-Keith-Ave-94618/home/1413165,EBRD/CCAR/Bay East,40663459,N,Y,37.846474,-122.245206
PAST SALE,August-7-2014,Single Family Residential,6720 MANOR Crst,Oakland,CA,94618-1934,945000,2,1.5,Rockridge,1530,5150,1925,1038,618,,Sold,,,http://www.redfin.com/CA/Oakland/6720-Manor-Crst-94618/home/1843853,EBRD/CCAR/Bay East,40664803,N,Y,37.851649,-122.243295
PAST SALE,November-10-2016,Single Family Residential,6537 CHABOT Rd,Oakland,CA,94618,1800000,4,3.0,Rockridge,2841,17850,1915,212,634,,Sold,,,http://www.redfin.com/CA/Oakland/6537-Chabot-Rd-94618/home/602426,EBRD/CCAR/Bay East,40758640,N,Y,37.8499865,-122.2454546
PAST SALE,,Single Family Residential,6218 Manoa St,Oakland,CA,94618,1830000,3,1.0,,1836,3780,1923,,997,,,,,http://www.redfin.com/CA/Oakland/6218-Manoa-St-94618/home/1649857,,,N,Y,37.850679,-122.2496638
PAST SALE,August-15-2014,Single Family Residential,6701 CHABOT Rd,Oakland,CA,94618-1917,1002000,3,2.0,Rockridge,1826,4703,1952,1030,549,,Sold,,,http://www.redfin.com/CA/Oakland/6701-Chabot-Rd-94618/home/1892036,EBRD/CCAR/Bay East,40661600,N,Y,37.8508609,-122.2430214
PAST SALE,October-14-2016,Single Family Residential,6020 HARWOOD Ave,Oakland,CA,94618,1045000,3,2.0,Rockridge,1360,3600,1909,239,768,,Sold,,,http://www.redfin.com/CA/Oakland/6020-Harwood-Ave-94618/home/529763,EBRD/CCAR/Bay East,40757506,Y,Y,37.8484814,-122.251719
PAST SALE,June-23-2015,Single Family Residential,5951 Keith Ave,Oakland,CA,94618,939500,3,1.5,Rockridge,1915,4400,1911,718,491,,Sold,,,http://www.redfin.com/CA/Oakland/5951-Keith-Ave-94618/home/1642792,EBRD/CCAR/Bay East,40690174,N,Y,37.846106,-122.246048
PAST SALE,September-17-2014,Single Family Residential,6729 MANOR Crst,Oakland,CA,94618-1933,1350000,4,3.0,Rockridge,2228,4104,1925,997,606,,Sold,,,http://www.redfin.com/CA/Oakland/6729-Manor-Crst-94618/home/602564,EBRD/CCAR/Bay East,40669044,N,Y,37.8513043,-122.2429609
PAST SALE,March-29-2017,Single Family Residential,6400 Mystic St,Oakland,CA,94618,1610000,4,2.5,Rockridge/Elmwd,2071,3201,1925,73,777,,Sold,,,http://www.redfin.com/CA/Oakland/6400-Mystic-St-94618/home/619263,EBRD/CCAR/Bay East,40775172,N,Y,37.8513859,-122.2501102
PAST SALE,May-9-2017,Single Family Residential,6064 Ross St,Oakland,CA,94618,2300000,3,3.0,Rockridge,2186,5593,1923,32,1052,,Sold,,,http://www.redfin.com/CA/Oakland/6064-Ross-St-94618/home/602353,EBRD/CCAR/Bay East,40777657,N,Y,37.8506947,-122.2478209
PAST SALE,May-10-2017,Single Family Residential,5738 Clover Dr,Oakland,CA,94618,1940000,3,2.5,Rockridge,2612,4000,1926,31,743,,Sold,,,http://www.redfin.com/CA/Oakland/5738-Clover-Dr-94618/home/1366382,EBRD/CCAR/Bay East,40774108,N,Y,37.8487197,-122.2449881
PAST SALE,July-29-2014,Single Family Residential,23 BUENA VISTA Pl,Oakland,CA,94618-2132,1060000,3,3.0,Rockridge Upper,2740,5300,1918,1047,387,,Sold,,,http://www.redfin.com/CA/Oakland/23-Buena-Vista-Pl-94618/home/632067,EBRD/CCAR/Bay East,40657451,N,Y,37.849081,-122.239097
PAST SALE,July-13-2015,Single Family Residential,6351 Brookside Ave,Oakland,CA,94618,1525000,5,4.0,Upper Rockridge,3167,6540,1995,698,482,,Sold,,,http://www.redfin.com/CA/Oakland/6351-Brookside-Ave-94618/home/1946627,EBRD/CCAR/Bay East,40697463,N,Y,37.8468808,-122.2388973
PAST SALE,April-11-2017,Single Family Residential,5816 Buena Vista Ave,Oakland,CA,94618,2040000,4,3.5,Upper Rockridge,3413,7500,2002,60,598,,Sold,,,http://www.redfin.com/CA/Oakland/5816-Buena-Vista-Ave-94618/home/1096998,EBRD/CCAR/Bay East,40773404,N,Y,37.8474245,-122.2358981
PAST SALE,April-25-2016,Single Family Residential,5351 LAWTON Ave,Oakland,CA,94618,2125000,3,2.5,Rockridge,2605,4000,2009,411,816,,Sold,,,http://www.redfin.com/CA/Oakland/5351-Lawton-Ave-94618/home/1375634,EBRD/CCAR/Bay East,40734116,N,Y,37.840158,-122.2537177
PAST SALE,May-16-2017,Single Family Residential,5665 Keith Ave,Oakland,CA,94618,1650000,4,3.0,Rockridge,2231,4000,1912,25,740,,Sold,,,http://www.redfin.com/CA/Oakland/5665-Keith-Ave-94618/home/1340433,EBRD/CCAR/Bay East,40775835,N,Y,37.844056,-122.251016
PAST SALE,April-28-2017,Single Family Residential,5850 Acacia Ave,Oakland,CA,94618,1400000,2,2.5,Oakland,2353,7590,1929,43,595,,Sold,,,http://www.redfin.com/CA/Oakland/5850-Acacia-Ave-94618/home/1544027,San Francisco MLS,455702,N,Y,37.8439025,-122.2421145
PAST SALE,June-6-2017,Condo/Co-op,5283 Broadway Ter Unit 4B,Oakland,CA,94618,1315000,2,2.0,Rockridge,1464,,1976,4,898,350,Sold,,,http://www.redfin.com/CA/Oakland/5283-Broadway-Ter-94618/unit-4B/home/2045096,EBRD/CCAR/Bay East,40780688,N,Y,37.8373497,-122.2482448
PAST SALE,April-21-2017,Single Family Residential,5863 Chabot Rd,Oakland,CA,94618,1625000,2,2.0,Rockridge,1919,3510,1920,50,847,,Sold,,,http://www.redfin.com/CA/Oakland/5863-Chabot-Rd-94618/home/113430727,EBRD/CCAR/Bay East,40773381,N,Y,37.8466045,-122.2538885
