SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Condo/Co-op,2005 Pleasant Valley Ave Unit 314-A,Oakland,CA,94611,270000,1,1.0,,635,,1975,,425,,,,,http://www.redfin.com/CA/Oakland/2005-Pleasant-Valley-Ave-94611/unit-314-A/home/1431864,,,N,Y,37.8335301,-122.2513498
PAST SALE,April-18-2016,Single Family Residential,4481 MORAGA Ave,Oakland,CA,94611,1150000,3,2.0,Piedmont Avenue,1868,4995,1926,418,616,,Sold,,,http://www.redfin.com/CA/Piedmont/4481-Moraga-Ave-94611/home/529222,EBRD/CCAR/Bay East,40730367,Y,Y,37.830165,-122.244008
PAST SALE,June-27-2014,Condo/Co-op,4099 Howe St #304,Oakland,CA,94611,259000,0,1.0,Piedmont Avenue,524,,1973,1079,494,240,Sold,,,http://www.redfin.com/CA/Oakland/4099-Howe-St-94611/unit-304/home/113360478,EBRD/CCAR/Bay East,40659326,N,Y,37.8271269,-122.2536183
PAST SALE,November-22-2016,Single Family Residential,4335 HOWE St,Oakland,CA,94611,975000,2,1.0,Oakland,1099,3750,1913,200,887,,Sold,,,http://www.redfin.com/CA/Oakland/4335-Howe-St-94611/home/2017113,EBRD/CCAR/Bay East,40758194,N,Y,37.8302621,-122.249353
PAST SALE,October-19-2015,Single Family Residential,277 38TH St,Oakland,CA,94611,760000,2,2.0,Oakland,1028,4200,1911,600,739,,Sold,,,http://www.redfin.com/CA/Oakland/277-38th-St-94611/home/1841185,EBRD/CCAR/Bay East,40713776,N,Y,37.825434,-122.257139
PAST SALE,March-22-2017,Condo/Co-op,288 Whitmore St #318,Oakland,CA,94611,337500,0,1.0,Rockridge,450,,1976,80,750,272,Sold,,,http://www.redfin.com/CA/Oakland/288-Whitmore-St-94611/unit-318/home/112900597,EBRD/CCAR/Bay East,40767231,N,Y,37.8337027,-122.2520389
PAST SALE,,Condo/Co-op,288 Whitmore St Apt 116,Oakland,CA,94611,601000,1,1.0,,875,,1976,,687,,,,,http://www.redfin.com/CA/Oakland/288-Whitmore-St-94611/unit-116/home/528494,,,N,Y,37.8337027,-122.2520389
PAST SALE,,Condo/Co-op,1 Kelton Ct Apt 8M,Oakland,CA,94611,460000,1,1.0,,677,,1974,,679,,,,,http://www.redfin.com/CA/Oakland/1-Kelton-Ct-94611/unit-8M/home/1546089,,,N,Y,37.8243896,-122.2508859
PAST SALE,,Condo/Co-op,288 Whitmore St Apt 109,Oakland,CA,94611,395000,1,1.0,,635,,1976,,622,,,,,http://www.redfin.com/CA/Oakland/288-Whitmore-St-94611/unit-109/home/529012,,,N,Y,37.8337026,-122.252039
PAST SALE,October-14-2014,Single Family Residential,4155 HOWE St,Oakland,CA,94611-5117,665000,2,1.0,Oakland,984,3000,1910,970,676,,Sold,,,http://www.redfin.com/CA/Oakland/4155-Howe-St-94611/home/1936110,EBRD/CCAR/Bay East,40673779,N,Y,37.8279671,-122.2523764
PAST SALE,November-19-2014,Condo/Co-op,4301 PIEDMONT Ave #1,Oakland,CA,94611-4715,787000,2,2.0,Piedmont Avenue,1430,1430,2005,934,550,260,Sold,,,http://www.redfin.com/CA/Oakland/4301-Piedmont-Ave-94611/unit-1/home/12116397,EBRD/CCAR/Bay East,40677191,N,Y,37.8292418,-122.2490309
PAST SALE,,Condo/Co-op,455 Crescent St #315,Oakland,CA,94610,325000,1,1.0,,696,,1968,,467,,,,,http://www.redfin.com/CA/Oakland/455-Crescent-St-94610/unit-315/home/2029404,,,N,Y,37.8140454,-122.2501672
PAST SALE,October-28-2016,Condo/Co-op,455 CRESCENT St #112,Oakland,CA,94610,310000,0,1.0,Grand Lake,546,,1968,225,568,373,Sold,,,http://www.redfin.com/CA/Oakland/455-Crescent-St-94610/unit-112/home/1830584,EBRD/CCAR/Bay East,40759114,N,Y,37.8140454,-122.2501672
PAST SALE,,Condo/Co-op,385 Jayne Ave Apt 208,Oakland,CA,94610,260000,1,1.0,,680,,1970,,382,,,,,http://www.redfin.com/CA/Oakland/385-Jayne-Ave-94610/unit-208/home/2040049,,,N,Y,37.81463,-122.2541822
PAST SALE,October-29-2014,Condo/Co-op,555 JEAN St #532,Oakland,CA,94610-1906,390000,2,1.0,Grand Lake,840,,1971,955,464,359,Sold,,,http://www.redfin.com/CA/Oakland/555-Jean-St-94610/unit-532/home/708695,EBRD/CCAR/Bay East,40673747,N,Y,37.817513,-122.248561
PAST SALE,October-29-2014,Single Family Residential,581 VERNON St,Oakland,CA,94610-1434,978000,4,5.0,Rose Garden,3492,7800,1914,955,280,,Sold,,,http://www.redfin.com/CA/Oakland/581-Vernon-St-94610/home/526130,EBRD/CCAR/Bay East,40674594,N,Y,37.818784,-122.250132
PAST SALE,July-3-2014,Condo/Co-op,150 Pearl St #302,Oakland,CA,94611,315000,1,1.0,Adams Point,770,,1973,1073,409,372,Sold,,,http://www.redfin.com/CA/Oakland/150-Pearl-St-94611/unit-302/home/1361509,EBRD/CCAR/Bay East,40661424,N,Y,37.817639,-122.254992
PAST SALE,July-16-2015,Condo/Co-op,645 Chetwood St #205,Oakland,CA,94610,405000,1,1.0,Rose Garden,703,,1972,695,576,391,Sold,,,http://www.redfin.com/CA/Oakland/645-Chetwood-St-94610/unit-205/home/526416,EBRD/CCAR/Bay East,40702550,N,Y,37.818898,-122.2485001
PAST SALE,,Condo/Co-op,460 Crescent St #103,Oakland,CA,94610,430000,1,1.0,,660,,1971,,652,,,,,http://www.redfin.com/CA/Oakland/460-Crescent-St-94610/unit-103/home/676542,,,N,Y,37.8132869,-122.2498653
PAST SALE,January-12-2017,Condo/Co-op,10 Moss Ave #12,Oakland,CA,94610,325000,1,1.0,Rose Garden,576,,1965,149,564,202,Sold,,,http://www.redfin.com/CA/Oakland/10-Moss-Ave-94610/unit-12/home/840404,EBRD/CCAR/Bay East,40760114,N,Y,37.8187041,-122.2507584
PAST SALE,May-15-2015,Condo/Co-op,3239 KEMPTON Ave #2,Oakland,CA,94611,925000,1,2.0,Lower Pied Ave,1407,40145,1927,757,657,587,Sold,,,http://www.redfin.com/CA/Oakland/3239-Kempton-Ave-94611/unit-2/home/1669864,EBRD/CCAR/Bay East,40694781,N,Y,37.8190403,-122.2586074
PAST SALE,September-11-2015,Condo/Co-op,455 Crescent St #212,Oakland,CA,94610-2661,250500,1,1.0,Crescent Circle,546,,1968,638,459,352,Sold,,,http://www.redfin.com/CA/Oakland/455-Crescent-St-94610/unit-212/home/526163,EBRD/CCAR/Bay East,40700543,N,Y,37.8140454,-122.2501672
