SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,September-12-2015,Condo/Co-op,440 59TH St,Oakland,CA,94609,600000,1,1.0,Lower Rockridge,,1900,1925,637,,150,Sold,,,http://www.redfin.com/CA/Oakland/440-59th-St-94609/home/1077430,EBRD/CCAR/Bay East,40708087,N,Y,37.8456006,-122.2581918
PAST SALE,May-6-2016,Single Family Residential,5711 HERMANN St,Oakland,CA,94609,1065000,3,1.5,Lower Rockridge,1305,7500,1914,400,816,,Sold,,,http://www.redfin.com/CA/Oakland/5711-Hermann-St-94609/home/833848,EBRD/CCAR/Bay East,40734154,N,Y,37.843324,-122.25925
PAST SALE,June-25-2016,Single Family Residential,462 61st St,Oakland,CA,94609,1365000,2,2.0,Lower Rockridge,1557,2816,1920,350,877,,Sold,,,http://www.redfin.com/CA/Oakland/462-61st-St-94609/home/1403934,EBRD/CCAR/Bay East,40742130,N,Y,37.8475583,-122.2598658
PAST SALE,June-26-2014,Single Family Residential,6324 RACINE St,Oakland,CA,94609-1233,550000,2,1.0,Nearly Rockridge,1124,3060,1926,1080,489,,Sold,,,http://www.redfin.com/CA/Oakland/6324-Racine-St-94609/home/2040214,EBRD/CCAR/Bay East,40658767,N,Y,37.8490022,-122.2624543
PAST SALE,August-30-2016,Multi-Family (2-4 Unit),690 Poirier,Oakland,CA,94609,1250000,6,3.0,N Oakland,3454,4140,1910,284,362,,Sold,,,http://www.redfin.com/CA/Oakland/690-Poirier-St-94609/home/1711559,EBRD/CCAR/Bay East,40750442,N,Y,37.847143,-122.268528
PAST SALE,September-30-2014,Single Family Residential,5842 SHATTUCK Ave,Oakland,CA,94609-1433,614145,2,1.0,Temescal,1096,4160,1919,984,560,,Sold,,,http://www.redfin.com/CA/Oakland/5842-Shattuck-Ave-94609/home/1726337,EBRD/CCAR/Bay East,40668450,N,Y,37.8442993,-122.2647758
PAST SALE,January-27-2015,Single Family Residential,592 62ND St,Oakland,CA,94609-1245,850500,5,2.0,North Oakland,2270,4600,1912,865,375,,Sold,,,http://www.redfin.com/CA/Oakland/592-62nd-St-94609/home/1140546,EBRD/CCAR/Bay East,40680904,N,Y,37.8480402,-122.2650988
PAST SALE,October-9-2014,Single Family Residential,543 58TH St,Oakland,CA,94609-1529,979000,3,1.5,Idora Park,1783,4000,1931,975,549,,Sold,,,http://www.redfin.com/CA/Oakland/543-58th-St-94609/home/529826,EBRD/CCAR/Bay East,40672422,N,Y,37.8435592,-122.2629121
PAST SALE,April-22-2015,Condo/Co-op,6211 TELEGRAPH Ave #35,Oakland,CA,94609,305000,1,1.0,North Oakland,626,,1985,780,487,270,Sold,,,http://www.redfin.com/CA/Oakland/6211-Telegraph-Ave-94609/unit-35/home/530949,EBRD/CCAR/Bay East,40689444,N,Y,37.8481515,-122.2611286
PAST SALE,November-2-2015,Single Family Residential,480 59TH St,Oakland,CA,94609,899000,3,1.5,Lower Rockridge,1404,4300,1912,586,640,,Sold,,,http://www.redfin.com/CA/Oakland/480-59th-St-94609/home/530964,EBRD/CCAR/Bay East,40713995,N,Y,37.8453469,-122.260378
