SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-26-2017,Condo/Co-op,466 37th St #2,Oakland,CA,94609,355000,1,1.0,Temescal,,4312,1961,15,,373,Sold,,,http://www.redfin.com/CA/Oakland/466-37th-St-94609/unit-2/home/113611397,EBRD/CCAR/Bay East,40775221,N,Y,37.8252519,-122.2638154
PAST SALE,May-26-2017,Condo/Co-op,466 37th St #6,Oakland,CA,94609,379000,1,1.0,Temescal,,4312,1961,15,,373,Sold,,,http://www.redfin.com/CA/Oakland/466-37th-St-94609/unit-6/home/113611394,EBRD/CCAR/Bay East,40775218,N,Y,37.8252519,-122.2638154
PAST SALE,May-26-2017,Condo/Co-op,466 37th St #3,Oakland,CA,94609,356000,1,1.0,Temescal,,4312,1961,15,,373,Sold,,,http://www.redfin.com/CA/Oakland/466-37th-St-94609/unit-3/home/113611396,EBRD/CCAR/Bay East,40775220,N,Y,37.8252519,-122.2638154
PAST SALE,,Multi-Family (2-4 Unit),4829 Clarke St,Oakland,CA,94609,1300000,4,3.0,,2580,5000,1945,,504,,,,,http://www.redfin.com/CA/Oakland/4829-Clarke-St-94609/home/529359,,,N,Y,37.835363,-122.261606
PAST SALE,May-31-2017,Condo/Co-op,466 37th St #8,Oakland,CA,94609,450000,2,1.0,Temescal,,4312,1961,10,,412,Sold,,,http://www.redfin.com/CA/Oakland/466-37th-St-94609/unit-8/home/113611392,EBRD/CCAR/Bay East,40775216,N,Y,37.8252519,-122.2638154
PAST SALE,May-25-2017,Multi-Family (5+ Unit),4211 Martin Luther King Jr Way,Oakland,CA,94609,1415000,4,3.0,Oakland,4280,5137,1922,16,331,,Sold,,,http://www.redfin.com/CA/Oakland/4211-Martin-Luther-King-Junior-Way-94609/home/528479,EBRD/CCAR/Bay East,40777053,N,Y,37.831704,-122.2682
PAST SALE,May-31-2017,Single Family Residential,850 W MacArthur,Oakland,CA,94708,727000,4,2.0,Oakland,2016,5560,1912,10,361,,Sold,,,http://www.redfin.com/CA/Oakland/850-W-MacArthur-Blvd-94608/home/999673,EBRD/CCAR/Bay East,40778670,N,Y,37.8280965,-122.2730425
PAST SALE,May-10-2017,Single Family Residential,4924 Webster St,Oakland,CA,94609,2000000,4,2.5,Temescal,2027,4486,2007,31,987,,Sold,,,http://www.redfin.com/CA/Oakland/4924-Webster-St-94609/home/12116400,EBRD/CCAR/Bay East,40777841,N,Y,37.8359232,-122.2592427
PAST SALE,,Single Family Residential,695 43rd St,Oakland,CA,94609,240000,3,2.0,,1218,3750,1923,,197,,,,,http://www.redfin.com/CA/Oakland/695-43rd-St-94609/home/1726708,,,N,Y,37.832143,-122.2690059
PAST SALE,June-7-2017,Single Family Residential,3767 Ruby St,Oakland,CA,94609,740000,2,1.0,Temescal,800,2500,1912,3,925,,Sold,,,http://www.redfin.com/CA/Oakland/3767-Ruby-St-94609/home/1267194,EBRD/CCAR/Bay East,40780724,N,Y,37.8262019,-122.2625617
